"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",6999,4.1,1663,https://www.amazon.com/realme-Storage-Additional-Exchange-Offers/dp/B096RWS54N/ref=sr_1_1?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-1
"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",6999,4.1,1663,https://www.amazon.com/realme-Storage-Additional-Exchange-Offers/dp/B096RT57F9/ref=sr_1_2?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-2
realme Buds 2 Neo in-Ear Wired Earphones with HD Mic for Android Smartphones (Black),499,4.3,14448,https://www.amazon.com/realme-Wired-Earphones-Android-Smartphones/dp/B097KM3Z16/ref=sr_1_3?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-3
"realme Buds Wireless 2 Neo (Black) Earphones with Type-C Fast Charge, Bass Boost+ & Magnetic Instant Connection",1499,4.1,570,https://www.amazon.com/realme-Wireless-Earphones-Magnetic-Connection/dp/B0999NNBPV/ref=sr_1_4?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-4
realme Buds 2 Neo in-Ear Wired Earphones with HD Mic for Android Smartphones (Blue),499,4.3,14448,https://www.amazon.com/realme-Wired-Earphones-Android-Smartphones/dp/B097KMXXTZ/ref=sr_1_5?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-5
"realme narzo 30 (Racing Blue, 6GB RAM, 128GB Storage) - MediaTek Helio G95 processor I Full HD+ display with No Cost EMI/Additional Exchange Offers",14999,3.9,217,https://www.amazon.com/realme-narzo-Racing-128GB-Storage/dp/B099SJHHQL/ref=sr_1_6?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-6
"realme Smart Watch 2 Pro (Space Grey) with 1.75 inch (4.4 cm) HD Super Bright Touchscreen, Dual-Satellite GPS, 14-Day Battery, SpO2 & Heart Rate Monitoring, IP68 Water Resistance",4999,4.2,530,https://www.amazon.com/realme-Touchscreen-Dual-Satellite-Monitoring-Resistance/dp/B094Y495LQ/ref=sr_1_7?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-7
realme Buds Q2 with Active Noise Cancellation (ANC) True Wireless Earbuds (Active Black) | Bluetooth v5.2 | 28-Hour Battery | IPX5 Water Resistant | Bass Boost+,2499,3.9,2153,https://www.amazon.com/realme-Cancellation-Wireless-Bluetooth-Resistant/dp/B091GDFM2W/ref=sr_1_8?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-8
"realme Buds Wireless 2 Neo (Blue) Earphones with Type-C Fast Charge, Bass Boost+ & Magnetic Instant Connection",1499,4.1,570,https://www.amazon.com/realme-Wireless-Earphones-Magnetic-Connection/dp/B0999NDRFC/ref=sr_1_9?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-9
"realme Smart Watch S with 1.3 inch (3.3 cm) TFT-LCD Touchscreen, 15 Days Battery Life, SpO2 & Heart Rate Monitoring, IP68 Water Resistance, Black",4999,4.2,3030,https://www.amazon.com/realme-TFT-LCD-Touchscreen-Monitoring-Resistance/dp/B08MB8YL5X/ref=sr_1_10?dchild=1&qid=1629526959&refinements=p_89%3Arealme&s=electronics&sr=1-10
